value,time
56.92,0
49.67,1
49.63,2
53.84,3
57.49,4
59.94,5
54.51,6
58.28,7
63.46,8
68.68,9
69.3,10
69.72,11
69.88,0
60.99,1
57.48,2
64.84,3
72.92,4
67.25,5
77.81,6
74.96,7
81.57,8
87.45,9
81.78,10
79.45,11
76.84,0
72.69,1
73.31,2
71.74,3
64.27,4
55.71,5
59.83,6
66.17,7
71.38,8
77.84,9
77.88,10
78.67,11
77.4,0
66.73,1
73.0,2
69.85,3
64.22,4
72.22,5
64.64,6
71.84,7
75.73,8
74.7,9
75.32,10
81.01,11
73.99,0
65.1,1
75.69,2
77.47,3
85.84,4
89.84,5
80.53,6
87.12,7
86.68,8
93.66,9
91.55,10
86.61,11
89.89,0
80.13,1
73.99,2
69.5,3
90.27,4
82.57,5
80.37,6
83.45,7
83.13,8
92.47,9
97.07,10
93.9,11
90.99,0
77.52,1
86.95,2
109.13,3
103.65,4
109.75,5
110.25,6
107.59,7
103.5,8
115.16,9
97.86,10
87.65,11
83.97,0
74.02,1
77.01,2
74.54,3
93.9,4
83.92,5
79.09,6
77.59,7
79.39,8
92.79,9
92.03,10
91.92,11
82.42,0
77.49,1
91.54,2
80.3,3
95.91,4
90.8,5
92.46,6
90.25,7
90.58,8
99.87,9
102.06,10
93.45,11
79.19,0
80.65,1
91.97,2
89.91,3
93.98,4
95.14,5
82.88,6
107.12,7
115.08,8
117.13,9
124.46,10
122.79,11
115.55,0
106.41,1
132.93,2
120.24,3
107.2,4
109.97,5
106.86,6
116.11,7
119.69,8
120.43,9
128.39,10
122.48,11
113.13,0
109.35,1
107.59,2
112.54,3
109.17,4
95.92,5
114.53,6
111.83,7
113.36,8
123.96,9
123.47,10
124.58,11
113.65,0
95.87,1
100.02,2
131.62,3
106.44,4
102.91,5
112.5,6
110.47,7
117.69,8
121.4,9
119.52,10
123.06,11
109.85,0
94.07,1
124.66,2
101.02,3
102.78,4
102.38,5
110.99,6
105.05,7
109.98,8
117.34,9
118.53,10
128.84,11
94.29,0
88.54,1
113.61,2
129.35,3
97.76,4
97.27,5
100.76,6
107.58,7
114.39,8
123.33,9
126.08,10
132.26,11
95.26,0
93.55,1
134.62,2
117.45,3
115.11,4
99.17,5
101.1,6
