value,time
18.4,0
17.4,1
17.1,2
16.6,3
15.8,4
18.5,5
17.3,6
18.7,7
19.6,8
19.1,9
18.9,10
19.6,11
19.5,0
19.7,1
20.8,2
19.5,3
18.5,4
18.6,5
17.8,6
19.5,7
19.4,8
19.7,9
19.4,10
18.9,11
18.9,0
19.0,1
18.6,2
18.8,3
19.6,4
19.5,5
19.5,6
20.0,7
19.4,8
18.9,9
18.2,10
19.0,11
17.3,0
18.7,1
18.1,2
18.5,3
17.1,4
17.4,5
18.0,6
17.0,7
18.1,8
19.0,9
18.6,10
17.2,11
19.2,0
18.3,1
21.1,2
19.1,3
20.1,4
19.0,5
19.3,6
19.0,7
17.3,8
18.4,9
17.3,10
17.1,11
15.4,0
17.4,1
16.1,2
18.2,3
18.2,4
18.9,5
18.0,6
19.3,7
17.8,8
18.8,9
18.3,10
18.4,11
18.4,0
18.3,1
17.5,2
16.8,3
15.6,4
16.0,5
17.3,6
16.9,7
14.0,8
14.4,9
15.6,10
16.9,11
17.2,0
16.1,1
13.6,2
14.6,3
13.0,4
16.3,5
17.6,6
18.0,7
18.1,8
17.6,9
14.8,10
14.9,11
14.4,0
14.2,1
15.0,2
11.8,3
12.2,4
14.3,5
13.2,6
14.4,7
13.3,8
14.4,9
17.6,10
17.0,11
16.0,0
16.2,1
16.3,2
16.4,3
15.2,4
15.7,5
14.3,6
14.6,7
13.3,8
15.8,9
11.8,10
14.3,11
14.4,0
14.4,1
14.4,2
16.8,3
15.4,4
13.8,5
11.2,6
14.6,7
13.3,8
14.8,9
14.0,10
13.7,11
12.6,0
13.0,1
12.6,2
12.3,3
13.1,4
13.0,5
13.5,6
12.8,7
13.3,8
15.0,9
11.8,10
13.8,11
11.2,0
10.6,1
11.4,2
12.3,3
11.0,4
10.6,5
10.8,6
8.6,7
6.5,8
8.2,9
12.4,10
14.4,11
14.1,0
11.5,1
5.6,2
7.2,3
9.5,4
7.9,5
14.5,6
11.6,7
14.4,8
14.5,9
12.0,10
10.9,11
10.2,0
13.2,1
12.4,2
13.1,3
14.6,4
13.8,5
14.7,6
12.7,7
14.7,8
13.3,9
12.6,10
13.5,11
12.1,0
11.8,1
13.0,2
15.4,3
14.6,4
12.0,5
13.2,6
14.9,7
14.8,8
13.2,9
12.2,10
11.5,11
12.8,0
13.9,1
12.0,2
10.4,3
11.8,4
13.4,5
12.6,6
14.8,7
12.6,8
12.8,9
11.8,10
12.8,11
13.0,0
12.5,1
10.2,2
11.6,3
8.6,4
9.3,5
10.0,6
13.2,7
11.5,8
11.6,9
13.4,10
15.1,11
11.9,0
12.8,1
14.2,2
10.4,3
9.4,4
6.6,5
8.3,6
7.8,7
9.6,8
11.0,9
10.6,10
11.6,11
11.0,0
11.4,1
12.6,2
12.4,3
9.5,4
14.8,5
15.5,6
14.3,7
11.8,8
11.2,9
12.4,10
10.4,11
11.0,0
11.6,1
12.2,2
10.6,3
11.3,4
12.2,5
14.4,6
16.8,7
13.9,8
14.5,9
13.4,10
15.9,11
14.0,0
12.3,1
10.8,2
14.2,3
18.2,4
13.6,5
12.8,6
13.2,7
11.8,8
13.5,9
15.0,10
15.0,11
13.6,0
13.2,1
14.8,2
14.5,3
14.3,4
14.0,5
15.5,6
13.9,7
17.0,8
17.9,9
14.0,10
12.4,11
12.5,0
15.6,1
14.8,2
14.5,3
15.1,4
15.6,5
16.4,6
18.0,7
16.1,8
17.1,9
18.3,10
18.1,11
15.1,0
13.4,1
13.0,2
13.4,3
15.4,4
15.8,5
15.2,6
15.7,7
16.3,8
16.9,9
15.9,10
15.9,11
16.9,0
18.9,1
19.0,2
18.8,3
18.2,4
18.2,5
19.6,6
18.0,7
18.9,8
19.0,9
19.7,10
18.7,11
16.9,0
18.1,1
20.1,2
20.2,3
20.8,4
16.3,5
16.1,6
17.2,7
19.0,8
16.2,9
16.1,10
15.8,11
18.0,0
19.0,1
19.8,2
18.7,3
18.6,4
18.4,5
20.1,6
15.1,7
13.5,8
16.1,9
17.7,10
18.0,11
16.6,0
17.4,1
16.2,2
16.6,3
18.8,4
18.5,5
16.2,6
15.4,7
16.0,8
18.2,9
19.7,10
19.4,11
20.0,0
16.2,1
16.2,2
16.5,3
17.9,4
18.6,5
20.1,6
19.1,7
21.1,8
21.1,9
20.8,10
20.7,11
21.2,0
20.3,1
19.2,2
21.6,3
19.8,4
