value,time
78.58,0
77.63,1
78.56,2
85.52,3
83.36,4
83.6,5
79.85,6
80.14,7
80.9,8
87.69,9
86.85,10
86.0,11
83.76,0
89.09,1
88.92,2
93.4,3
84.54,4
78.9,5
77.38,6
82.29,7
87.36,8
83.46,9
86.51,10
85.95,11
86.38,0
92.48,1
94.45,2
87.75,3
81.21,4
77.47,5
76.79,6
71.88,7
80.4,8
80.98,9
78.05,10
74.75,11
79.38,0
80.65,1
77.52,2
79.02,3
81.86,4
79.74,5
85.22,6
81.98,7
78.24,8
86.21,9
89.86,10
82.98,11
83.43,0
71.75,1
70.63,2
87.81,3
81.47,4
85.07,5
86.91,6
83.89,7
79.88,8
80.9,9
85.37,10
80.27,11
80.61,0
85.91,1
84.09,2
85.37,3
83.63,4
79.66,5
81.97,6
82.3,7
80.65,8
80.66,9
71.64,10
77.24,11
83.28,0
89.95,1
88.57,2
82.27,3
83.4,4
78.75,5
81.99,6
80.96,7
80.24,8
83.51,9
81.12,10
79.88,11
80.21,0
76.59,1
77.97,2
74.61,3
81.62,4
86.79,5
86.16,6
79.6,7
74.37,8
70.21,9
83.69,10
83.39,11
84.05,0
84.47,1
81.89,2
79.26,3
79.87,4
78.17,5
74.79,6
75.47,7
79.23,8
82.87,9
84.63,10
81.83,11
75.35,0
84.37,1
89.58,2
83.62,3
84.07,4
81.49,5
71.58,6
82.96,7
85.66,8
64.43,9
63.88,10
75.06,11
74.41,0
71.72,1
78.2,2
85.5,3
82.1,4
83.85,5
82.51,6
81.12,7
84.9,8
82.27,9
82.7,10
79.16,11
83.28,0
83.53,1
78.72,2
82.12,3
82.21,4
80.18,5
77.14,6
72.47,7
66.43,8
76.07,9
84.41,10
91.48,11
93.66,0
88.38,1
82.93,2
92.75,3
83.53,4
93.76,5
89.74,6
87.93,7
85.07,8
88.29,9
89.33,10
94.8,11
83.59,0
67.23,1
60.36,2
75.11,3
83.02,4
71.93,5
79.89,6
78.99,7
88.19,8
89.59,9
68.11,10
73.99,11
86.45,0
77.2,1
95.31,2
79.76,3
74.54,4
70.38,5
69.92,6
72.0,7
64.8,8
80.02,9
94.88,10
95.11,11
95.5,0
95.48,1
77.92,2
66.34,3
71.08,4
86.3,5
78.48,6
83.21,7
80.78,8
77.51,9
74.37,10
75.01,11
88.97,0
75.05,1
71.21,2
73.24,3
72.28,4
86.92,5
91.51,6
72.66,7
80.08,8
90.29,9
79.24,10
81.73,11
85.51,0
82.0,1
81.25,2
79.79,3
75.05,4
70.84,5
66.34,6
58.46,7
64.16,8
70.7,9
61.7,10
76.67,11
94.87,0
86.6,1
73.86,2
93.46,3
88.26,4
83.4,5
80.34,6
74.79,7
82.8,8
78.83,9
69.1,10
60.38,11
62.11,0
63.67,1
57.02,2
61.18,3
88.23,4
85.77,5
92.28,6
89.11,7
80.56,8
81.11,9
78.78,10
69.36,11
74.83,0
82.31,1
71.9,2
62.99,3
57.89,4
56.47,5
61.58,6
82.25,7
82.67,8
80.51,9
64.19,10
53.34,11
91.15,0
90.51,1
84.46,2
70.23,3
79.39,4
95.48,5
83.16,6
77.52,7
85.64,8
83.17,9
95.33,10
87.29,11
92.23,0
87.41,1
73.61,2
88.55,3
95.04,4
90.89,5
81.73,6
92.22,7
89.41,8
93.84,9
74.43,10
87.17,11
78.8,0
68.98,1
92.97,2
91.49,3
92.36,4
83.86,5
73.6,6
78.7,7
79.08,8
76.94,9
83.98,10
77.31,11
91.12,0
91.59,1
85.02,2
85.31,3
94.03,4
95.79,5
88.52,6
87.88,7
75.99,8
85.64,9
88.25,10
82.37,11
74.24,0
72.74,1
89.33,2
85.8,3
81.63,4
75.91,5
80.58,6
89.97,7
90.18,8
81.97,9
86.81,10
83.98,11
72.96,0
81.23,1
70.34,2
73.6,3
79.52,4
90.09,5
93.37,6
93.43,7
92.83,8
94.42,9
93.81,10
89.25,11
79.98,0
84.09,1
87.86,2
85.8,3
87.73,4
85.59,5
85.59,6
90.74,7
83.5,8
83.44,9
87.22,10
88.49,11
77.86,0
91.9,1
76.72,2
78.89,3
83.08,4
86.93,5
80.81,6
77.76,7
83.11,8
86.19,9
87.2,10
79.73,11
80.95,0
84.79,1
83.72,2
90.38,3
77.0,4
71.04,5
77.29,6
69.47,7
64.53,8
82.92,9
83.12,10
77.15,11
69.42,0
78.35,1
75.47,2
71.41,3
79.94,4
