value,time
6.4,0
6.3,1
7.5,2
8.5,3
9.4,4
12.3,5
13.1,6
13.2,7
11.8,8
9.4,9
9.5,10
5.8,11
7.3,0
6.6,1
9.2,2
8.4,3
10.5,4
12.4,5
13.0,6
11.7,7
11.9,8
10.2,9
7.2,10
6.9,11
7.3,0
7.6,1
7.5,2
11.0,3
11.2,4
12.4,5
13.2,6
12.6,7
12.0,8
10.9,9
9.0,10
7.4,11
7.3,0
6.4,1
8.4,2
10.5,3
12.7,4
13.4,5
14.1,6
13.2,7
13.1,8
12.6,9
11.1,10
7.0,11
7.9,0
5.8,1
8.4,2
9.3,3
10.3,4
12.3,5
11.7,6
11.1,7
10.7,8
9.7,9
8.1,10
4.4,11
5.6,0
4.8,1
7.1,2
8.6,3
10.8,4
12.5,5
13.6,6
12.6,7
12.1,8
11.0,9
9.4,10
8.0,11
5.5,0
6.9,1
9.7,2
10.4,3
11.2,4
13.1,5
13.7,6
13.4,7
12.6,8
12.0,9
9.9,10
8.8,11
9.0,0
8.4,1
10.2,2
10.1,3
11.1,4
11.1,5
12.8,6
13.0,7
10.9,8
10.2,9
5.8,10
4.4,11
4.1,0
6.3,1
6.8,2
8.6,3
10.8,4
11.3,5
12.6,6
12.2,7
10.6,8
9.7,9
9.2,10
7.5,11
5.3,0
6.8,1
9.2,2
10.0,3
12.2,4
13.1,5
14.2,6
14.7,7
13.7,8
11.4,9
10.1,10
8.9,11
6.5,0
8.1,1
5.9,2
9.8,3
11.7,4
11.9,5
13.0,6
12.2,7
11.2,8
9.2,9
8.0,10
7.2,11
5.7,0
5.6,1
8.8,2
9.1,3
11.1,4
11.8,5
12.2,6
13.0,7
11.6,8
9.6,9
8.6,10
7.8,11
3.5,0
6.1,1
7.5,2
9.4,3
11.7,4
12.7,5
13.8,6
12.4,7
12.0,8
10.8,9
9.0,10
7.7,11
5.5,0
7.1,1
8.4,2
10.0,3
12.2,4
12.8,5
12.9,6
12.6,7
11.7,8
10.8,9
10.8,10
7.7,11
6.2,0
6.2,1
7.8,2
9.2,3
13.7,4
13.3,5
13.5,6
14.8,7
13.6,8
12.9,9
10.1,10
9.6,11
7.6,0
7.3,1
9.8,2
10.8,3
12.7,4
12.6,5
13.7,6
13.0,7
11.7,8
10.7,9
9.1,10
5.7,11
6.1,0
