value,time
515.0,0
237.1,1
224.2,2
24.4,3
11.6,4
0.0,5
4.9,6
8.7,7
32.3,8
168.0,9
265.1,10
302.7,11
393.0,0
283.7,1
115.2,2
26.1,3
0.6,4
28.4,5
0.0,6
0.0,7
5.1,8
123.0,9
257.6,10
210.0,11
196.0,0
191.5,1
76.4,2
28.6,3
2.0,4
2.0,5
3.3,6
42.8,7
66.8,8
108.0,9
81.0,10
372.0,11
254.0,0
175.3,1
147.6,2
50.0,3
33.2,4
43.0,5
4.7,6
24.5,7
20.2,8
115.0,9
291.5,10
269.4,11
345.0,0
255.5,1
106.0,2
72.2,3
16.8,4
23.6,5
26.1,6
55.4,7
57.4,8
144.0,9
222.8,10
102.4,11
259.0,0
56.1,1
49.7,2
87.3,3
2.7,4
108.9,5
0.6,6
0.0,7
48.9,8
131.0,9
294.6,10
446.4,11
197.0,0
258.8,1
204.0,2
45.2,3
32.6,4
0.0,5
94.4,6
18.0,7
72.8,8
188.0,9
417.1,10
199.3,11
202.0,0
116.5,1
111.7,2
172.3,3
60.4,4
35.0,5
8.2,6
27.2,7
42.2,8
149.0,9
133.7,10
257.4,11
212.0,0
64.1,1
426.2,2
62.0,3
35.4,4
72.2,5
0.0,6
4.5,7
15.2,8
111.0,9
71.9,10
324.5,11
173.0,0
268.6,1
47.2,2
49.8,3
17.8,4
5.1,5
25.4,6
0.0,7
50.0,8
107.0,9
331.7,10
225.4,11
76.0,0
228.2,1
126.9,2
84.3,3
123.4,4
22.4,5
68.6,6
107.0,7
196.0,8
105.0,9
166.4,10
360.9,11
250.0,0
23.8,1
279.4,2
88.4,3
5.1,4
7.4,5
0.0,6
42.0,7
128.0,8
51.2,9
273.2,10
207.3,11
410.0,0
129.2,1
90.1,2
30.6,3
100.2,4
23.2,5
46.1,6
0.2,7
43.0,8
156.0,9
218.6,10
201.2,11
205.0,0
380.3,1
204.2,2
80.4,3
86.0,4
0.0,5
81.8,6
71.3,7
73.0,8
166.0,9
235.6,10
349.6,11
489.0,0
201.8,1
61.0,2
147.6,3
8.8,4
82.6,5
0.0,6
13.2,7
45.0,8
60.6,9
229.0,10
250.5,11
282.0,0
70.6,1
117.2,2
41.4,3
25.4,4
50.6,5
0.0,6
22.0,7
57.0,8
220.0,9
253.2,10
230.6,11
352.0,0
187.6,1
343.2,2
23.0,3
16.0,4
8.5,5
21.8,6
2.0,7
44.0,8
179.0,9
136.0,10
507.2,11
238.4,0
346.5,1
246.0,2
215.8,3
140.8,4
127.4,5
54.6,6
6.0,7
369.0,8
184.0,9
193.6,10
413.6,11
172.0,0
68.6,1
101.2,2
109.7,3
46.6,4
0.0,5
0.0,6
33.4,7
113.0,8
66.5,9
232.8,10
267.9,11
448.0,0
160.6,1
225.1,2
8.3,3
21.2,4
2.8,5
0.0,6
2.0,7
60.7,8
76.0,9
262.6,10
392.0,11
126.0,0
258.7,1
147.7,2
28.1,3
89.9,4
1.2,5
80.4,6
81.1,7
17.6,8
37.6,9
140.2,10
509.2,11
205.0,0
135.5,1
179.0,2
109.2,3
56.6,4
20.6,5
4.0,6
0.0,7
91.9,8
57.4,9
169.0,10
402.3,11
138.0,0
255.6,1
111.7,2
31.6,3
33.8,4
23.2,5
9.5,6
0.0,7
53.2,8
181.0,9
153.8,10
189.5,11
270.0,0
361.2,1
272.8,2
45.2,3
0.0,4
40.5,5
31.4,6
6.2,7
71.4,8
59.4,9
123.4,10
271.3,11
114.0,0
120.0,1
115.0,2
68.4,3
92.6,4
0.6,5
34.8,6
42.6,7
71.4,8
91.4,9
181.4,10
97.0,11
543.0,0
203.2,1
218.9,2
101.4,3
2.0,4
0.0,5
7.4,6
0.0,7
46.6,8
190.0,9
101.5,10
214.9,11
718.0,0
144.0,1
237.8,2
111.0,3
93.9,4
3.5,5
14.1,6
25.4,7
158.0,8
144.0,9
230.0,10
131.6,11
194.0,0
274.9,1
134.2,2
62.7,3
28.0,4
54.0,5
0.0,6
21.6,7
55.4,8
47.8,9
102.0,10
229.2,11
421.0,0
211.9,1
273.8,2
23.8,3
198.3,4
10.0,5
3.5,6
0.0,7
0.0,8
146.0,9
127.4,10
316.8,11
200.0,0
339.5,1
124.8,2
64.6,3
65.6,4
1.2,5
1.0,6
0.0,7
38.6,8
116.0,9
192.0,10
442.1,11
174.0,0
310.3,1
129.1,2
54.1,3
84.6,4
17.0,5
0.2,6
18.1,7
149.0,8
90.5,9
363.2,10
252.7,11
383.3,0
114.5,1
96.5,2
61.1,3
41.0,4
52.6,5
5.6,6
1.2,7
38.8,8
164.1,9
194.8,10
253.6,11
