Valor,index
2001,0
852,1
1806,2
1356,3
1233,4
1590,5
1273,6
1770,7
1734,8
1457,9
1357,10
1716,11
1445,0
1468,1
1452,2
1098,3
1238,4
2478,5
832,6
1289,7
1470,8
1628,9
1459,10
2256,11
2058,0
1487,1
1581,2
1569,3
468,4
503,5
597,6
1539,7
1423,8
1246,9
1508,10
1047,11
1307,0
1399,1
1320,2
736,3
784,4
1534,5
1077,6
1211,7
1430,8
2505,9
2491,10
2144,11
1839,0
863,1
2414,2
940,3
1545,4
878,5
789,6
1136,7
1189,8
1430,9
697,10
834,11
1015,0
2051,1
1373,2
2446,3
1905,4
1512,5
530,6
1328,7
2077,8
1319,9
656,10
1847,11
2496,0
1595,1
1513,2
1847,3
1137,4
1571,5
1195,6
995,7
1230,8
1107,9
1133,10
879,11
937,0
1888,1
1661,2
820,3
1313,4
1586,5
1911,6
1447,7
916,8
780,9
1042,10
1090,11
1750,0
1724,1
1726,2
1384,3
1881,4
1114,5
747,6
1378,7
1068,8
1032,9
1152,10
806,11
1225,0
504,1
1493,2
1011,3
1737,4
1258,5
2102,6
2428,7
1630,8
1288,9
1839,10
1385,11
1805,0
1192,1
2093,2
1299,3
2331,4
2512,5
1778,6
1417,7
1941,8
1752,9
996,10
1216,11
1086,0
1051,1
955,2
2029,3
2836,4
2457,5
1260,6
1862,7
1863,8
978,9
1549,10
1089,11
1043,0
2380,1
2144,2
1708,3
1143,4
