value,time
25.2,0
24.3,1
24.3,2
21.4,3
19.8,4
17.0,5
17.2,6
17.6,7
20.2,8
21.6,9
22.5,10
24.0,11
25.3,0
26.4,1
24.9,2
21.8,3
21.0,4
19.3,5
20.8,6
19.6,7
20.2,8
21.6,9
22.5,10
24.0,11
24.8,0
25.2,1
24.3,2
21.6,3
19.2,4
17.4,5
18.9,6
17.5,7
19.7,8
21.6,9
22.9,10
23.9,11
22.9,0
24.5,1
23.2,2
21.8,3
19.3,4
16.6,5
16.5,6
18.8,7
18.1,8
22.0,9
21.7,10
24.1,11
24.4,0
25.0,1
26.4,2
23.6,3
21.7,4
18.2,5
17.6,6
17.8,7
17.3,8
20.2,9
22.2,10
24.6,11
25.0,0
26.2,1
24.3,2
22.3,3
21.9,4
18.2,5
17.1,6
18.0,7
19.5,8
19.4,9
23.2,10
23.6,11
23.8,0
25.0,1
23.9,2
21.6,3
19.9,4
20.3,5
18.8,6
18.7,7
19.7,8
20.6,9
22.4,10
23.8,11
25.9,0
25.9,1
24.1,2
22.6,3
20.9,4
16.9,5
17.2,6
17.9,7
17.1,8
20.4,9
23.5,10
24.5,11
26.2,0
26.6,1
24.7,2
22.2,3
21.8,4
19.5,5
18.3,6
16.2,7
18.3,8
21.4,9
22.3,10
23.0,11
24.0,0
25.5,1
25.3,2
23.8,3
20.1,4
18.0,5
18.0,6
19.1,7
19.2,8
21.6,9
22.6,10
24.0,11
