value,time
1686.0,0
1591.0,1
2304.0,2
1712.0,3
1471.0,4
1377.0,5
1966.0,6
2453.0,7
1984.0,8
2596.0,9
4087.0,10
5179.0,11
1530.0,0
1523.0,1
1633.0,2
1976.0,3
1170.0,4
1480.0,5
1781.0,6
2472.0,7
1981.0,8
2273.0,9
3857.0,10
4551.0,11
1510.0,0
1329.0,1
1518.0,2
1790.0,3
1537.0,4
1449.0,5
1954.0,6
1897.0,7
1706.0,8
2514.0,9
3593.0,10
4524.0,11
1609.0,0
1638.0,1
2030.0,2
1375.0,3
1320.0,4
1245.0,5
1600.0,6
2298.0,7
2191.0,8
2511.0,9
3440.0,10
4923.0,11
1609.0,0
1435.0,1
2061.0,2
1789.0,3
1567.0,4
1404.0,5
1597.0,6
3159.0,7
1759.0,8
2504.0,9
4273.0,10
5274.0,11
1771.0,0
1682.0,1
1846.0,2
1589.0,3
1896.0,4
1379.0,5
1645.0,6
2512.0,7
1771.0,8
3727.0,9
4388.0,10
5434.0,11
1606.0,0
1523.0,1
1577.0,2
1605.0,3
1765.0,4
1403.0,5
2584.0,6
3318.0,7
1562.0,8
2349.0,9
3987.0,10
5891.0,11
1389.0,0
1442.0,1
1548.0,2
1935.0,3
1518.0,4
1250.0,5
1847.0,6
1930.0,7
2638.0,8
3114.0,9
4405.0,10
7242.0,11
1853.0,0
1779.0,1
2108.0,2
2336.0,3
1728.0,4
1661.0,5
2230.0,6
1645.0,7
2421.0,8
3740.0,9
4988.0,10
6757.0,11
1757.0,0
1394.0,1
1982.0,2
1650.0,3
1654.0,4
1406.0,5
1971.0,6
1968.0,7
2608.0,8
3845.0,9
4514.0,10
6694.0,11
1720.0,0
1321.0,1
1859.0,2
1628.0,3
1615.0,4
1457.0,5
1899.0,6
1605.0,7
2424.0,8
3116.0,9
4286.0,10
6047.0,11
1902.0,0
2049.0,1
1874.0,2
1279.0,3
1432.0,4
1540.0,5
2214.0,6
1857.0,7
2408.0,8
3252.0,9
3627.0,10
6153.0,11
1577.0,0
1667.0,1
1993.0,2
1997.0,3
1783.0,4
1625.0,5
2076.0,6
1773.0,7
2377.0,8
3088.0,9
4096.0,10
6119.0,11
1494.0,0
1564.0,1
1898.0,2
2121.0,3
1831.0,4
1515.0,5
2048.0,6
2795.0,7
1749.0,8
3339.0,9
4227.0,10
6410.0,11
1197.0,0
1968.0,1
1720.0,2
1725.0,3
1674.0,4
1693.0,5
2031.0,6
1495.0,7
2968.0,8
3385.0,9
3729.0,10
5999.0,11
1070.0,0
1402.0,1
1897.0,2
1862.0,3
1670.0,4
1688.0,5
2031.0,6
